排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,农牧饲渔,BK0433,13295.53,-90.7,-0.68,971761168000,6.91,34,58,美农生物,20.01
2,银行,BK0475,3630.79,-220.18,-5.72,13267913984000,0.62,0,42,建设银行,-0.45
3,酿酒行业,BK0477,46900.99,-3302.79,-6.58,3592224560000,1.88,2,37,会稽山,0.82
4,铁路公路,BK0421,8117.97,-627.87,-7.18,739290640000,1.22,0,29,宁沪高速,-0.32
5,电力行业,BK0428,15239.17,-1185.35,-7.22,2934143872000,1.99,4,77,湖南发展,8.42
6,航空机场,BK0420,4340.47,-343.2,-7.33,617773600000,1.25,0,14,中国国航,-3.89
7,食品饮料,BK0438,24348.65,-1976.64,-7.51,1512612928000,3.55,9,109,祖名股份,10.03
8,贵金属,BK0732,1171.25,-99.12,-7.8,350858400000,3.56,0,11,玉龙股份,0.0
9,保险,BK0474,1272.31,-111.4,-8.05,2599426928000,0.64,0,6,中国平安,-5.67
10,旅游酒店,BK0485,14102.69,-1263.98,-8.23,322731552000,5.53,1,36,大连圣亚,1.81
11,农药兽药,BK0730,950.46,-86.12,-8.31,257623321000,3.45,3,44,金河生物,9.93
12,物流行业,BK0422,5957.54,-542.01,-8.34,840811440000,2.19,3,53,中创物流,9.99
13,商业百货,BK0482,15005.89,-1393.27,-8.5,498059824000,3.34,3,58,国芳集团,9.92
14,煤炭行业,BK0437,9501.93,-928.17,-8.9,1613533200000,1.23,0,35,中国神华,-4.16
15,公用事业,BK0427,7589.02,-750.06,-8.99,176951940000,1.97,0,23,洪城环境,-2.66
16,汽车整车,BK1029,1498.82,-148.14,-8.99,2128150928000,1.58,0,26,中国重汽,-5.86
17,航运港口,BK0450,8955.86,-889.06,-9.03,939705392000,1.31,1,36,连云港,10.12
18,水泥建材,BK0424,21867.41,-2175.1,-9.05,331391936000,1.81,0,28,海螺水泥,-2.11
19,小金属,BK1027,1849.0,-184.66,-9.08,632709616000,3.33,3,35,银河磁体,3.62
20,石油行业,BK0464,5045.65,-511.94,-9.21,3253042016000,0.58,1,20,中国石化,-6.92
21,房地产开发,BK0451,10904.46,-1119.73,-9.31,925757600000,1.58,0,94,金桥Ｂ股,-3.76
22,证券,BK0473,126214.78,-12983.7,-9.33,2970653040000,1.65,1,48,湘财股份,7.87
23,珠宝首饰,BK0734,356.67,-37.2,-9.44,132540835000,1.64,0,17,老凤祥Ｂ,-4.78
24,综合行业,BK0539,8939.27,-939.17,-9.51,155874269000,1.46,0,21,浙农股份,-9.91
25,多元金融,BK0738,511.51,-53.88,-9.53,402448640000,1.35,0,21,中航产融,0.0
26,中药,BK1040,1253.11,-132.29,-9.55,838483936000,2.94,0,71,片仔癀,-1.58
27,装修建材,BK0476,11029.76,-1171.8,-9.6,392511888000,2.75,1,67,德尔未来,4.04
28,燃气,BK1028,1339.93,-143.93,-9.7,256915422000,1.55,0,32,贵州燃气,0.0
29,化纤行业,BK0471,12579.25,-1358.58,-9.75,401557200000,2.04,1,27,泰和新材,7.77
30,化肥行业,BK0731,1211.01,-131.24,-9.78,356051040000,2.47,0,26,云天化,-6.48
31,工程建设,BK0425,19829.76,-2174.1,-9.88,1299802144000,1.57,0,69,四川路桥,-2.11
32,钢铁行业,BK0479,6563.54,-737.54,-10.1,796212544000,1.55,0,48,鄂资Ｂ股,-5.54
33,房地产服务,BK1045,976.17,-110.23,-10.15,78756310000,2.85,0,18,招商积余,-7.48
34,造纸印刷,BK0470,7708.04,-909.12,-10.55,218317495000,2.27,1,39,民士达,3.44
35,纺织服装,BK0436,9673.17,-1141.59,-10.56,463421344000,2.03,0,98,太平鸟,-3.91
36,装修装饰,BK0725,467.74,-55.75,-10.65,112011827000,2.46,2,36,中旗新材,10.01
37,医药商业,BK1042,907.31,-108.17,-10.65,298386752000,2.06,0,31,益丰药房,-2.47
