,date,stock_code,open,close,high,low,volume,MA5,MA20,MA60,RSI,MACD,Signal_Line,MACD_hist,BB_upper,BB_middle,BB_lower,Volume_MA,Volume_Ratio,ATR,Volatility,ROC,MACD_signal,RSI_signal
0,2025-04-03,600036,42.02,42.65,42.85,42.02,464166.00,42.95,43.98,41.80,44.87,0.16,0.51,-0.36,46.13,43.98,41.84,601269.30,0.77,0.88,2.06,-5.73,死叉,中性
1,2025-04-02,600036,42.87,42.73,43.15,42.68,331202.00,43.07,44.00,41.74,45.46,0.25,0.60,-0.35,46.10,44.00,41.89,606663.65,0.55,0.94,2.19,-7.15,死叉,中性
2,2025-04-01,600036,43.28,42.87,43.29,42.75,389360.00,43.06,44.01,41.69,46.46,0.35,0.69,-0.34,46.09,44.01,41.92,621705.40,0.63,0.96,2.25,-5.03,死叉,中性
3,2025-03-31,600036,43.21,43.29,43.78,42.61,539569.00,43.50,43.95,41.63,49.51,0.47,0.77,-0.31,46.21,43.95,41.69,618099.65,0.87,0.97,2.24,-3.89,死叉,中性
4,2025-03-28,600036,43.30,43.22,43.45,43.06,386184.00,43.86,43.89,41.57,48.99,0.56,0.85,-0.29,46.29,43.89,41.49,614628.65,0.63,0.95,2.20,-4.30,死叉,中性
5,2025-03-27,600036,42.75,43.26,43.74,42.74,827951.00,44.15,43.83,41.51,49.26,0.68,0.92,-0.24,46.35,43.83,41.31,630590.65,1.31,0.98,2.26,-1.32,死叉,中性
6,2025-03-26,600036,44.50,42.66,44.59,42.61,1578326.00,44.55,43.79,41.44,45.08,0.83,0.98,-0.16,46.38,43.79,41.20,620322.95,2.54,0.97,2.27,-2.02,死叉,中性
7,2025-03-25,600036,45.00,45.09,45.50,44.95,356872.00,45.22,43.73,41.37,65.29,1.05,1.02,0.04,46.48,43.73,40.98,565229.00,0.63,0.84,1.86,3.63,金叉,中性
8,2025-03-24,600036,44.55,45.05,45.19,44.55,449576.00,45.23,43.53,41.25,65.05,1.08,1.01,0.07,46.45,43.53,40.61,572751.45,0.78,0.88,1.96,4.60,金叉,中性
9,2025-03-21,600036,45.12,44.70,45.34,44.52,675412.00,45.23,43.34,41.13,62.97,1.11,0.99,0.12,46.33,43.34,40.34,578828.00,1.17,0.86,1.92,2.59,金叉,中性
10,2025-03-20,600036,45.92,45.24,45.92,44.78,678656.00,45.32,43.17,41.03,68.83,1.16,0.96,0.20,46.21,43.17,40.13,574820.20,1.18,0.85,1.88,5.31,金叉,中性
11,2025-03-19,600036,45.28,46.02,46.10,45.10,670706.00,45.04,43.00,40.90,78.64,1.16,0.91,0.25,45.93,43.00,40.07,561271.15,1.19,0.80,1.75,7.30,金叉,超买
12,2025-03-18,600036,45.29,45.14,45.38,44.82,428220.00,44.54,42.80,40.77,74.89,1.06,0.85,0.21,45.39,42.80,40.21,546470.95,0.78,0.81,1.80,7.99,金叉,超买
13,2025-03-17,600036,45.32,45.04,45.50,44.98,654210.00,44.22,42.65,40.64,74.41,1.00,0.80,0.20,45.01,42.65,40.28,552393.20,1.18,0.82,1.82,7.11,金叉,超买
14,2025-03-14,600036,44.00,45.16,45.47,43.94,911275.00,43.82,42.48,40.53,76.01,0.93,0.75,0.18,44.59,42.48,40.37,546489.00,1.67,0.82,1.82,7.40,金叉,超买
15,2025-03-13,600036,43.60,43.84,44.38,43.50,585539.00,43.51,42.32,40.42,69.27,0.81,0.70,0.10,44.02,42.32,40.63,525862.10,1.11,0.75,1.71,3.45,金叉,中性
16,2025-03-12,600036,43.50,43.54,43.86,43.25,418258.00,43.33,42.22,40.33,67.33,0.77,0.68,0.10,43.77,42.22,40.66,519695.50,0.80,0.74,1.71,4.97,金叉,中性
17,2025-03-11,600036,42.77,43.51,43.64,42.71,565741.00,43.20,42.12,40.23,67.14,0.75,0.65,0.10,43.57,42.12,40.67,528962.15,1.07,0.73,1.68,6.04,金叉,中性
18,2025-03-10,600036,43.49,43.07,43.58,42.82,508750.00,42.86,41.99,40.14,64.28,0.72,0.63,0.09,43.37,41.99,40.62,523563.65,0.97,0.69,1.60,4.36,金叉,中性
19,2025-03-07,600036,42.90,43.57,43.80,42.85,605413.00,42.65,41.87,40.03,70.79,0.70,0.61,0.10,43.28,41.87,40.46,527216.45,1.15,0.71,1.62,5.24,金叉,超买
20,2025-03-06,600036,42.89,42.96,43.10,42.45,572053.00,42.35,41.70,39.92,67.00,0.63,0.58,0.05,43.06,41.70,40.34,522999.10,1.09,0.69,1.60,2.65,金叉,中性
