,date,stock_code,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA20,MA60,RSI,MACD,Signal,MACD_hist,BB_upper,BB_middle,BB_lower,Volume_MA,Volume_Ratio,ATR,Volatility,ROC,MACD_signal,RSI_signal
0,2024-01-02,600004,9.71,9.65,9.74,9.61,93892,91338192.0,1.34,-0.62,-0.06,0.4,9.65,9.65,9.65,,0.0,0.0,0.0,,,,,,,,,死叉,中性
1,2024-01-03,600004,9.65,9.56,9.72,9.53,147764,142929231.0,1.97,-0.93,-0.09,0.62,9.620000000000001,9.641428571428571,9.647049180327869,,-0.007179487179488575,-0.001435897435897715,-0.00574358974359086,,,,,,,,,死叉,中性
2,2024-01-04,600004,9.58,9.2,9.58,9.16,437033,407395977.0,4.39,-3.77,-0.36,1.85,9.48,9.599387755102041,9.632391830153184,,-0.04144057272262458,-0.009436832493243088,-0.03200374022938149,,,,,,,,,死叉,中性
3,2024-01-05,600004,9.16,9.15,9.31,9.12,188378,175014800.0,2.07,-0.54,-0.05,0.8,9.370000000000001,9.556588921282799,9.616575704574391,,-0.0717996503108651,-0.02190939605676749,-0.04989025425409761,,,,,,,,,死叉,中性
4,2024-01-08,600004,9.13,9.04,9.18,9.02,148884,135907594.0,1.75,-1.2,-0.11,0.63,9.260000000000002,9.507389976398724,9.597671583112936,,-0.10354195155166934,-0.038235907155747866,-0.06530604439592147,,,,,,,,,死叉,中性
5,2024-01-09,600004,9.05,9.17,9.25,9.02,205890,189675494.0,2.54,1.44,0.13,0.87,9.230000000000002,9.475257597694084,9.583649563994479,,-0.11686094025541394,-0.05396091377568108,-0.06290002647973286,,,,,,,,,死叉,中性
6,2024-01-10,600004,9.12,9.13,9.2,9.02,136447,125493994.0,1.96,-0.44,-0.04,0.58,9.196666666666669,9.442375921723219,9.56877580779794,,-0.12915517994916925,-0.06899976701037872,-0.06015541293879054,,,,,,,,,死叉,中性
7,2024-01-11,600004,9.06,9.22,9.25,9.05,130971,121270349.0,2.19,0.99,0.09,0.55,9.204444444444446,9.421197262511484,9.557340535411122,,-0.13013607794343152,-0.08122702919698928,-0.04890904874644224,,,,,,,,,死叉,中性
8,2024-01-12,600004,9.21,9.27,9.35,9.19,132850,124305287.0,1.74,0.54,0.05,0.56,9.226296296296297,9.406797523224675,9.5479195342501,,-0.1254329515521171,-0.09006821366801485,-0.03536473788410224,,,,,,,,,死叉,中性
9,2024-01-15,600004,9.35,9.42,9.53,9.29,230573,219015086.0,2.59,1.62,0.15,0.97,9.290864197530865,9.408054901965182,9.543725451159933,,-0.10835291860676222,-0.09372515465576432,-0.014627763950997894,,,,,,,,,死叉,中性
