,trade_date,open_price,close_price,high_price,low_price,change_percent,change_amount,volume,amount,amplitude,turnover_rate,sector
0,2024-01-02,55052.13,54215.66,55052.13,54202.99,-1.76,-970.84,3249071,18443143730.0,1.54,1.06,酿酒行业
1,2024-01-03,54104.77,54002.89,54464.69,53649.84,-0.39,-212.77,2537896,13465983694.0,1.5,0.83,酿酒行业
2,2024-01-04,53944.77,53236.68,53944.77,52980.17,-1.42,-766.21,2558878,14665194449.0,1.79,0.84,酿酒行业
3,2024-01-05,53073.53,52555.83,53389.95,52362.84,-1.28,-680.85,2171351,12326693212.0,1.93,0.71,酿酒行业
4,2024-01-08,52498.86,51632.89,52501.05,51632.89,-1.76,-922.94,2176792,13495184574.0,1.65,0.71,酿酒行业
5,2024-01-09,51689.82,51729.14,52228.12,51435.07,0.19,96.25,2028176,12767582384.0,1.54,0.66,酿酒行业
6,2024-01-10,51621.36,52293.1,52632.81,51116.77,1.09,563.96,2211625,12805056009.0,2.93,0.72,酿酒行业
7,2024-01-11,52122.29,52630.69,52767.97,51995.02,0.65,337.59,1965404,11476546523.0,1.48,0.64,酿酒行业
8,2024-01-12,52490.24,52385.0,52976.97,52329.07,-0.47,-245.69,1996801,10179726524.0,1.23,0.65,酿酒行业
9,2024-01-15,52218.53,52145.61,52637.37,52000.92,-0.46,-239.39,1712483,11145972701.0,1.21,0.56,酿酒行业
10,2024-01-16,52053.85,52209.98,52634.59,51557.12,0.12,64.37,1996170,13152928718.0,2.07,0.65,酿酒行业
11,2024-01-17,52020.82,50745.16,52020.82,50745.16,-2.81,-1464.82,2500974,19039702873.0,2.44,0.82,酿酒行业
12,2024-01-18,50495.6,50899.85,50930.04,49506.97,0.3,154.69,3334058,23104342017.0,2.8,1.09,酿酒行业
13,2024-01-19,50686.68,50817.86,51259.41,50512.78,-0.16,-81.99,2358779,18173190548.0,1.47,0.77,酿酒行业
14,2024-01-22,50556.36,48613.56,50557.25,48318.76,-4.34,-2204.3,2677546,18419934885.0,4.4,0.87,酿酒行业
15,2024-01-23,48455.5,48568.48,48707.16,47738.77,-0.09,-45.08,2389261,14857556972.0,1.99,0.78,酿酒行业
16,2024-01-24,48806.68,48852.59,49068.01,47432.32,0.58,284.11,2649875,15782476980.0,3.37,0.87,酿酒行业
17,2024-01-25,48710.18,50452.88,50571.69,48616.03,3.28,1600.29,3194986,18913971003.0,4.0,1.04,酿酒行业
18,2024-01-26,50320.84,50705.39,51216.24,50273.84,0.5,252.51,2725381,15864435230.0,1.87,0.89,酿酒行业
19,2024-01-29,50826.35,50514.78,51604.8,50498.95,-0.38,-190.61,3744154,18811437618.0,2.18,1.22,酿酒行业
20,2024-01-30,50022.31,48480.67,50022.31,48479.4,-4.03,-2034.11,2909936,15712496305.0,3.05,0.95,酿酒行业
21,2024-01-31,48153.73,46693.65,48584.29,46692.95,-3.69,-1787.02,2975714,14537721208.0,3.9,0.97,酿酒行业
22,2024-02-01,46429.93,46243.02,47044.75,45875.46,-0.97,-450.63,2667545,13578269358.0,2.5,0.87,酿酒行业
23,2024-02-02,46207.86,45197.42,47203.76,43918.91,-2.26,-1045.6,3835364,20079344331.0,7.1,1.25,酿酒行业
24,2024-02-05,44664.4,43220.8,44664.4,42460.93,-4.37,-1976.62,4011916,23529216528.0,4.88,1.31,酿酒行业
25,2024-02-06,42366.17,44816.89,45271.72,42103.62,3.69,1596.09,4471543,25213421514.0,7.33,1.46,酿酒行业
26,2024-02-07,44852.93,45194.53,45786.1,44453.56,0.84,377.64,4385085,25154207175.0,2.97,1.43,酿酒行业
27,2024-02-08,45172.45,46527.2,46548.21,45172.45,2.95,1332.67,4333472,22593527207.0,3.04,1.42,酿酒行业
