,Date,Stock Code,Open,Close,High,Low,Volume,Amount,Amplitude,Price Change %,Price Change,Turnover Rate
0,2024-01-02,600519,1660.24,1630.25,1663.43,1623.34,32156,5440082548.0,2.4,-2.45,-40.99,0.26
1,2024-01-03,600519,1626.35,1639.24,1640.46,1621.57,20229,3411400667.0,1.16,0.55,8.99,0.16
2,2024-01-04,600519,1638.24,1614.24,1638.24,1608.17,21551,3603970147.0,1.83,-1.53,-25.0,0.17
3,2024-01-05,600519,1606.57,1608.6,1623.9,1597.35,20243,3373155627.0,1.64,-0.35,-5.64,0.16
4,2024-01-08,600519,1606.24,1589.23,1607.24,1585.25,25586,4211918629.0,1.37,-1.2,-19.37,0.2
5,2024-01-09,600519,1586.25,1586.24,1597.56,1580.31,24412,4009826496.0,1.09,-0.19,-2.99,0.19
6,2024-01-10,600519,1586.34,1586.74,1604.7,1583.24,17351,2856120718.0,1.35,0.03,0.5,0.14
7,2024-01-11,600519,1585.34,1591.81,1603.18,1583.3,16441,2708764500.0,1.25,0.32,5.07,0.13
8,2024-01-12,600519,1585.21,1588.3,1596.5,1584.64,11603,1908084612.0,0.75,-0.22,-3.51,0.09
9,2024-01-15,600519,1580.24,1585.24,1600.21,1579.69,17854,2931202343.0,1.29,-0.19,-3.06,0.14
10,2024-01-16,600519,1583.74,1584.67,1592.24,1570.18,25903,4236042960.0,1.39,-0.04,-0.57,0.21
11,2024-01-17,600519,1575.24,1522.24,1580.72,1522.24,51633,8251735591.0,3.69,-3.94,-62.43,0.41
12,2024-01-18,600519,1519.24,1556.11,1558.04,1500.79,60440,9566349514.0,3.76,2.23,33.87,0.48
13,2024-01-19,600519,1554.11,1580.24,1583.25,1546.12,46378,7550144389.0,2.39,1.55,24.13,0.37
14,2024-01-22,600519,1574.24,1587.24,1588.24,1564.12,46946,7678297836.0,1.53,0.44,7.0,0.37
15,2024-01-23,600519,1577.25,1564.24,1585.19,1554.24,34835,5659457115.0,1.95,-1.45,-23.0,0.28
16,2024-01-24,600519,1574.24,1571.24,1579.08,1548.8,33216,5373603703.0,1.94,0.45,7.0,0.26
17,2024-01-25,600519,1572.06,1583.24,1586.24,1567.24,31206,5094508165.0,1.21,0.76,12.0,0.25
18,2024-01-26,600519,1575.6,1582.56,1589.34,1568.24,26955,4402111882.0,1.33,-0.04,-0.68,0.21
19,2024-01-29,600519,1585.54,1595.24,1605.82,1585.53,31421,5189014946.0,1.28,0.8,12.68,0.25
