,date,stock_code,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA20,MA60,RSI,MACD,Signal,MACD_hist,BB_upper,BB_middle,BB_lower,Volume_MA,Volume_Ratio,ATR,Volatility,ROC,MACD_signal,RSI_signal
0,2024-01-02,300750,155.96,150.57,156.27,150.36,214033,3390080350.0,3.76,-4.1,-6.43,0.55,150.57,150.57,150.57,,0.0,0.0,0.0,,,,,,,,,死叉,中性
1,2024-01-03,300750,149.84,149.54,151.02,148.14,197576,3070016674.0,1.91,-0.68,-1.03,0.51,150.22666666666666,150.47190476190477,150.5362295081967,,-0.0821652421652459,-0.016433048433049182,-0.06573219373219671,,,,,,,,,死叉,中性
2,2024-01-04,300750,149.24,144.94,149.46,143.51,272418,4114835334.0,3.98,-3.08,-4.6,0.7,148.46444444444444,149.9450566893424,150.35274657350172,,-0.5125549305606114,-0.11565742485856163,-0.3968975057020498,,,,,,,,,死叉,中性
3,2024-01-05,300750,144.73,144.64,148.47,143.23,210353,3195235676.0,3.62,-0.21,-0.3,0.54,147.18962962962962,149.4398131951193,150.1654434071574,,-0.8678453709779603,-0.2660950140824414,-0.6017503568955189,,,,,,,,,死叉,中性
4,2024-01-08,300750,143.94,143.74,147.13,142.82,193854,2926528361.0,2.98,-0.62,-0.9,0.5,146.03975308641975,148.8969738432032,149.9547731315129,,-1.2081117232026202,-0.4544983559064772,-0.7536133672961429,,,,,,,,,死叉,中性
5,2024-01-09,300750,143.7,142.44,145.11,139.49,233916,3473507460.0,3.91,-0.9,-1.3,0.6,144.83983539094652,148.28202395337433,149.70838712720098,,-1.5646382188407415,-0.67652632849333,-0.8881118903474114,,,,,,,,,死叉,中性
6,2024-01-10,300750,140.68,144.4,146.85,140.29,232120,3500326619.0,4.61,1.38,1.96,0.6,144.69322359396435,147.91230738638632,149.5343416476206,,-1.6697841830148548,-0.875177899397635,-0.7946062836172197,,,,,,,,,死叉,中性
7,2024-01-11,300750,144.4,148.56,151.51,142.25,328018,5037065544.0,6.41,2.88,4.16,0.84,145.98214906264292,147.97399239720667,149.50239601982977,,-1.4012827682451245,-0.9803988731671329,-0.4208838950779916,,,,,,,,,死叉,中性
8,2024-01-12,300750,147.74,148.37,151.07,145.94,254622,3943737150.0,3.45,-0.13,-0.19,0.65,146.77809937509528,148.01170740699652,149.4652682814747,,-1.1901060727047934,-1.022340313074665,-0.1677657596301283,,,,,,,,,死叉,中性
9,2024-01-15,300750,147.24,145.44,147.44,143.09,172722,2618158007.0,2.93,-1.97,-2.93,0.44,146.33206625006352,147.76678289204446,149.333292272246,,-1.2448239770797045,-1.066837045875673,-0.17798693120403142,,,,,,,,,死叉,中性
10,2024-01-16,300750,145.4,150.69,150.99,144.3,284693,4421625828.0,4.6,3.61,5.25,0.73,147.7847108333757,148.04518452137356,149.3777744928281,,-0.8547046830477143,-1.0244105733100815,0.16970589026236715,,,,,,,,0.0796971508268518,金叉,中性
11,2024-01-17,300750,150.6,145.98,150.6,145.49,217615,3343384131.0,3.39,-3.13,-4.71,0.56,147.1831405555838,147.84850028124274,149.2663720504403,,-0.9150419349252559,-1.0025368456331163,0.08749491070786042,,,,,,,,-2.380633944095223,金叉,中性
12,2024-01-18,300750,143.84,148.35,148.94,143.75,307788,4688436698.0,3.56,1.62,2.37,0.79,147.57209370372254,147.89626215921962,149.23632706517998,,-0.7628270532347301,-0.9545948871534391,0.191767833918709,,,,,,,,2.3526976680005474,金叉,中性
13,2024-01-19,300750,147.54,148.64,151.63,147.14,265949,4136034233.0,3.03,0.2,0.29,0.68,147.92806246914836,147.96709433453202,149.2167753581249,46.782260753584524,-0.6117432906198133,-0.886024567846714,0.27428127722690077,,,,,,5.556428571428573,3.738178532984778,2.765486725663724,金叉,中性
14,2024-01-22,300750,147.24,149.4,153.69,144.39,404888,6323471152.0,6.26,0.51,0.76,1.04,148.41870831276557,148.10356154076706,149.22278272343226,48.097560975609774,-0.4257746071965016,-0.7939745757166716,0.36819996852017,,,,,,5.798571428571431,3.881239242685027,3.9376652288854785,金叉,中性
15,2024-01-23,300750,148.74,147.65,152.54,146.93,323059,5033058276.0,3.76,-1.17,-1.75,0.83,148.1624722085104,148.06036520355116,149.17121607676233,46.99714013346046,-0.4148216545748653,-0.7181439914883104,0.3033223369134451,,,,,,5.993571428571428,4.05931014464709,3.657680426846399,金叉,中性
16,2024-01-24,300750,148.24,147.22,148.73,143.25,248710,3776131708.0,3.71,-0.29,-0.43,0.64,147.8483148056736,147.98033042226058,149.10724177916356,54.17582417582417,-0.43581496343739445,-0.6616781858781273,0.22586322244073287,,,,,,5.954285714285713,4.044481533953072,1.9529085872576069,金叉,中性
17,2024-01-25,300750,145.74,148.74,148.84,143.45,294796,4503492567.0,3.66,1.03,1.52,0.76,148.1455432037824,148.0526799058548,149.09520106509262,57.18793828892009,-0.32604259900278976,-0.5945510685030598,0.2685084695002701,,,,,,5.964999999999999,4.010353637219308,0.12116316639740887,金叉,中性
18,2024-01-26,300750,146.24,143.74,148.22,143.74,271813,4118576147.0,3.01,-3.36,-5.0,0.7,146.67702880252162,147.6419484862496,148.9196207023027,50.0,-0.6351834234599494,-0.6026775394944378,-0.03250588396551157,,,,,,6.014285714285713,4.184142002425013,-3.1205769360382773,死叉,中性
19,2024-01-29,300750,143.18,140.76,144.52,140.76,217675,3235910042.0,2.62,-2.07,-2.98,0.56,144.70468586834775,146.9865248208925,148.65209215468622,47.55102040816326,-1.1078700132943595,-0.7037160342544222,-0.4041539790399373,152.3102301864432,146.6905,141.07076981355678,257330.9,0.8458953044504177,5.881428571428572,4.178338001867414,-3.2178217821782207,死叉,中性
20,2024-01-30,300750,139.24,134.49,141.18,134.14,327274,4680164654.0,5.0,-4.45,-6.27,0.84,141.29979057889852,145.79637959985513,148.18776126436862,37.16653716653719,-1.9657541504775224,-0.9561236574990423,-1.0096304929784803,153.43821440974276,145.8865,138.33478559025727,262992.95,1.2444211907581553,5.915714285714287,4.398627619684948,-10.750547481584704,死叉,中性
21,2024-01-31,300750,138.74,145.33,146.7,137.74,595221,8943013792.0,6.66,8.06,10.84,1.53,142.6431937192657,145.75196249510702,148.09406417373359,46.4340914109075,-1.7507544955585956,-1.115049825110953,-0.6357046704476426,153.03105955466248,145.676,138.3209404453375,282875.2,2.1041823390668393,6.126428571428572,4.215529189725845,-0.4452664748595514,死叉,中性
22,2024-02-01,300750,145.32,142.76,146.26,142.32,279688,4197978843.0,2.71,-1.77,-2.57,0.72,142.68212914617715,145.4670136860492,147.9191768237751,44.11579609817495,-1.767370099305225,-1.2455138799498076,-0.5218562193554175,153.0317807455375,145.56699999999998,138.10221925446245,283238.7,0.9874639305998791,6.041428571428573,4.231877676820239,-3.7681159420289934,死叉,中性
23,2024-02-02,300750,141.74,139.74,142.74,137.11,307060,4494266567.0,3.94,-2.12,-3.02,0.79,141.70141943078477,144.92158381118736,147.65100709184804,44.03266331658293,-2.0011587335875447,-1.396642850677355,-0.6045158829101898,153.22374024803202,145.322,137.420259751968,288074.05,1.0659064917509926,6.067857142857142,4.342247848044326,-5.987621097954776,死叉,中性
24,2024-02-05,300750,136.35,145.68,148.24,136.04,471326,7035622773.0,8.73,4.25,5.94,1.21,143.02761295385653,144.99381392440762,147.58638390850876,44.829721362229115,-1.687675085420267,-1.4548492976259375,-0.2328257877943294,153.2865265958777,145.419,137.55147340412233,301947.65,1.560952701569295,6.461428571428572,4.435357338981722,-2.489959839357425,死叉,中性
25,2024-02-06,300750,144.93,152.07,153.0,144.56,437459,6828296924.0,5.79,4.39,6.39,1.12,146.0417419692377,145.66773640779738,147.73338771478717,56.07420706163974,-0.9130918843158042,-1.3464978149639109,0.4334059306481066,154.16889123918378,145.90050000000002,137.63210876081627,312124.8,1.401551558863634,6.692857142857144,4.401168634745279,2.9935658652217922,金叉,中性
26,2024-02-07,300750,151.74,153.34,153.53,149.74,366070,5800699416.0,2.49,0.84,1.27,0.94,148.4744946461585,146.39842817848333,147.9172110684007,55.08872119110749,-0.19450855713347437,-1.1160999633978237,0.9215914062643493,155.21896074722048,146.3475,137.47603925277951,318822.3,1.1481944644399091,6.592857142857143,4.299502506102219,4.157043879907629,金叉,中性
27,2024-02-08,300750,153.24,156.58,158.74,152.62,309012,5016344779.0,3.99,2.11,3.24,0.79,151.17632976410567,147.36810168529445,148.20123693501048,57.63755290496347,0.6291622383185995,-0.767047523054539,1.3962097613731386,156.70029174557868,146.7485,136.79670825442133,317872.0,0.9721271455176926,6.7092857142857145,4.284893162783059,5.270942584375415,金叉,中性
