,Date,Stock Code,Open,Close,High,Low,Volume,Amount,Amplitude,Price Change %,Price Change,Turnover Rate
0,2024-01-02,300750,155.96,150.57,156.27,150.36,214033,3390080350.0,3.76,-4.1,-6.43,0.55
1,2024-01-03,300750,149.84,149.54,151.02,148.14,197576,3070016674.0,1.91,-0.68,-1.03,0.51
2,2024-01-04,300750,149.24,144.94,149.46,143.51,272418,4114835334.0,3.98,-3.08,-4.6,0.7
3,2024-01-05,300750,144.73,144.64,148.47,143.23,210353,3195235676.0,3.62,-0.21,-0.3,0.54
4,2024-01-08,300750,143.94,143.74,147.13,142.82,193854,2926528361.0,2.98,-0.62,-0.9,0.5
5,2024-01-09,300750,143.7,142.44,145.11,139.49,233916,3473507460.0,3.91,-0.9,-1.3,0.6
6,2024-01-10,300750,140.68,144.4,146.85,140.29,232120,3500326619.0,4.61,1.38,1.96,0.6
7,2024-01-11,300750,144.4,148.56,151.51,142.25,328018,5037065544.0,6.41,2.88,4.16,0.84
8,2024-01-12,300750,147.74,148.37,151.07,145.94,254622,3943737150.0,3.45,-0.13,-0.19,0.65
9,2024-01-15,300750,147.24,145.44,147.44,143.09,172722,2618158007.0,2.93,-1.97,-2.93,0.44
10,2024-01-16,300750,145.4,150.69,150.99,144.3,284693,4421625828.0,4.6,3.61,5.25,0.73
11,2024-01-17,300750,150.6,145.98,150.6,145.49,217615,3343384131.0,3.39,-3.13,-4.71,0.56
12,2024-01-18,300750,143.84,148.35,148.94,143.75,307788,4688436698.0,3.56,1.62,2.37,0.79
13,2024-01-19,300750,147.54,148.64,151.63,147.14,265949,4136034233.0,3.03,0.2,0.29,0.68
14,2024-01-22,300750,147.24,149.4,153.69,144.39,404888,6323471152.0,6.26,0.51,0.76,1.04
15,2024-01-23,300750,148.74,147.65,152.54,146.93,323059,5033058276.0,3.76,-1.17,-1.75,0.83
16,2024-01-24,300750,148.24,147.22,148.73,143.25,248710,3776131708.0,3.71,-0.29,-0.43,0.64
17,2024-01-25,300750,145.74,148.74,148.84,143.45,294796,4503492567.0,3.66,1.03,1.52,0.76
18,2024-01-26,300750,146.24,143.74,148.22,143.74,271813,4118576147.0,3.01,-3.36,-5.0,0.7
19,2024-01-29,300750,143.18,140.76,144.52,140.76,217675,3235910042.0,2.62,-2.07,-2.98,0.56
20,2024-01-30,300750,139.24,134.49,141.18,134.14,327274,4680164654.0,5.0,-4.45,-6.27,0.84
21,2024-01-31,300750,138.74,145.33,146.7,137.74,595221,8943013792.0,6.66,8.06,10.84,1.53
22,2024-02-01,300750,145.32,142.76,146.26,142.32,279688,4197978843.0,2.71,-1.77,-2.57,0.72
23,2024-02-02,300750,141.74,139.74,142.74,137.11,307060,4494266567.0,3.94,-2.12,-3.02,0.79
24,2024-02-05,300750,136.35,145.68,148.24,136.04,471326,7035622773.0,8.73,4.25,5.94,1.21
25,2024-02-06,300750,144.93,152.07,153.0,144.56,437459,6828296924.0,5.79,4.39,6.39,1.12
26,2024-02-07,300750,151.74,153.34,153.53,149.74,366070,5800699416.0,2.49,0.84,1.27,0.94
27,2024-02-08,300750,153.24,156.58,158.74,152.62,309012,5016344779.0,3.99,2.11,3.24,0.79
28,2024-02-19,300750,158.7,153.83,158.7,152.83,270925,4355156562.0,3.75,-1.76,-2.75,0.7
29,2024-02-20,300750,155.62,152.07,155.62,149.81,221948,3506366283.0,3.78,-1.14,-1.76,0.57
30,2024-02-21,300750,151.12,154.94,157.04,150.08,257827,4135575623.0,4.58,1.89,2.87,0.66
31,2024-02-22,300750,155.07,154.09,155.07,152.62,209559,3349275886.0,1.58,-0.55,-0.85,0.54
32,2024-02-23,300750,155.71,154.24,155.74,152.8,210176,3368773226.0,1.91,0.1,0.15,0.54
33,2024-02-26,300750,152.97,149.74,153.73,148.44,360664,5638931754.0,3.43,-2.92,-4.5,0.93
34,2024-02-27,300750,148.82,151.57,151.59,148.28,290401,4531078101.0,2.21,1.22,1.83,0.75
35,2024-02-28,300750,151.92,150.75,157.04,150.75,400917,6423464926.0,4.15,-0.54,-0.82,1.03
36,2024-02-29,300750,149.84,157.25,157.51,149.4,391675,6315294345.0,5.38,4.31,6.5,1.01
37,2024-03-01,300750,157.27,158.29,159.3,156.14,281013,4610970231.0,2.01,0.66,1.04,0.72
38,2024-03-04,300750,158.74,157.64,161.6,156.51,268086,4424835389.0,3.22,-0.41,-0.65,0.69
39,2024-03-05,300750,155.84,158.39,158.94,153.74,275496,4478109343.0,3.3,0.48,0.75,0.71
40,2024-03-06,300750,156.32,157.38,160.64,155.44,187180,3067856204.0,3.28,-0.64,-1.01,0.48
41,2024-03-07,300750,156.74,153.89,157.91,153.22,221450,3568786297.0,2.98,-2.22,-3.49,0.57
42,2024-03-08,300750,152.87,151.74,154.54,150.39,202170,3194520067.0,2.7,-1.4,-2.15,0.52
43,2024-03-11,300750,158.74,174.59,175.39,157.84,763350,13248182793.0,11.57,15.06,22.85,1.96
44,2024-03-12,300750,177.08,179.58,180.17,173.74,621649,11428112945.0,3.68,2.86,4.99,1.6
45,2024-03-13,300750,180.74,178.92,181.43,177.04,347958,6444102061.0,2.44,-0.37,-0.66,0.89
46,2024-03-14,300750,178.63,177.55,181.7,176.7,305356,5642924971.0,2.79,-0.77,-1.37,0.78
47,2024-03-15,300750,177.37,174.74,177.64,170.59,354836,6371462215.0,3.97,-1.58,-2.81,0.91
48,2024-03-18,300750,183.78,184.7,187.5,182.69,483052,9229188790.0,2.75,5.7,9.96,1.24
49,2024-03-19,300750,184.23,180.99,186.04,180.34,269576,5099068938.0,3.09,-2.01,-3.71,0.69
50,2024-03-20,300750,179.25,183.22,184.98,179.25,210316,3987105281.0,3.17,1.23,2.23,0.54
51,2024-03-21,300750,183.25,182.82,185.62,182.82,187567,3571619013.0,1.53,-0.22,-0.4,0.48
52,2024-03-22,300750,182.83,180.25,183.65,178.73,191034,3563063417.0,2.69,-1.41,-2.57,0.49
53,2024-03-25,300750,179.31,178.54,181.94,178.22,164134,3046334226.0,2.06,-0.95,-1.71,0.42
54,2024-03-26,300750,179.44,185.54,186.87,179.43,302473,5746016495.0,4.17,3.92,7.0,0.78
55,2024-03-27,300750,185.48,181.74,185.49,181.74,206457,3910050276.0,2.02,-2.05,-3.8,0.53
56,2024-03-28,300750,181.81,182.52,185.44,180.34,200367,3792149244.0,2.81,0.43,0.78,0.51
57,2024-03-29,300750,184.04,183.9,188.74,183.12,164648,3154024728.0,3.08,0.76,1.38,0.42
58,2024-04-01,300750,187.74,191.58,193.57,187.14,275132,5438688735.0,3.5,4.18,7.68,0.71
59,2024-04-02,300750,191.84,193.44,195.31,190.24,240381,4793028386.0,2.65,0.97,1.86,0.62
60,2024-04-03,300750,192.68,191.39,192.69,188.34,234890,4635543375.0,2.25,-1.06,-2.05,0.6
61,2024-04-08,300750,191.39,188.34,193.64,188.34,189576,3729974586.0,2.77,-1.59,-3.05,0.49
